"k","counts","heavy_tipper_no"
62,1736,488
14,1667,326
238,1563,469
85,1009,255
65,978,239
40,964,237
98,954,264
194,947,243
170,916,226
18,903,217
93,862,218
147,841,200
241,834,204
193,827,206
144,820,180
112,812,187
89,810,198
219,771,194
2,761,170
86,746,189
10,734,169
183,693,145
20,681,165
67,681,168
187,675,129
202,670,210
141,651,167
49,627,134
45,603,144
96,586,131
131,581,131
184,578,125
108,577,120
237,577,125
3,575,167
75,561,118
199,561,105
134,560,106
174,542,110
233,531,104
143,526,116
25,514,92
231,506,122
81,499,103
5,492,119
248,482,111
162,481,86
185,480,122
154,474,108
22,461,104
74,447,119
152,447,121
140,421,97
206,408,82
192,402,103
28,400,85
29,396,89
181,393,88
243,392,65
43,389,86
100,381,72
104,356,73
126,351,102
64,347,80
107,345,85
66,341,88
227,341,68
12,333,78
178,333,73
176,332,68
220,320,67
48,317,72
47,308,51
180,305,73
19,304,53
124,303,73
158,296,83
224,296,70
159,292,48
41,289,70
51,287,56
128,287,61
235,284,51
88,282,60
182,275,47
90,274,52
190,269,56
97,265,50
129,259,73
87,256,51
214,247,72
212,246,42
111,244,62
246,242,54
35,233,39
244,230,54
239,229,43
198,228,51
240,227,45
156,224,60
133,219,56
42,217,58
37,211,48
11,209,40
79,209,53
4,204,53
130,202,48
171,197,37
54,196,54
223,194,36
106,193,39
222,187,39
146,179,33
46,177,39
31,172,32
38,165,27
177,165,40
186,162,45
145,150,51
155,141,34
115,137,40
118,130,31
120,125,32
216,120,20
230,120,24
53,114,36
189,113,17
151,108,27
225,107,22
119,103,19
136,102,24
137,102,15
77,101,21
195,94,18
13,90,19
21,90,25
103,84,23
191,83,16
109,80,17
205,78,16
148,77,12
161,75,27
228,63,8
84,57,12
196,56,13
153,55,9
7,51,7
247,50,13
117,48,12
70,47,8
242,44,10
229,41,11
122,38,9
56,36,8
63,36,13
72,35,8
76,35,8
99,34,10
200,33,7
150,31,10
210,30,11
166,26,6
30,25,5
125,25,9
57,24,4
188,23,4
36,22,2
60,20,4
110,20,2
168,20,5
27,19,7
59,19,2
102,19,5
236,19,3
24,18,7
213,18,4
221,18,1
234,16,5
83,15,4
123,15,4
203,15,3
50,14,4
6,13,2
179,13,2
78,11,2
114,11,3
95,10,1
163,10,2
55,9,5
249,9,5
105,8,1
68,7,2
211,7,3
17,6,1
101,6,3
204,6,2
232,6,0
1,5,1
33,5,2
61,5,1
91,5,0
92,5,1
69,4,0
132,4,2
157,4,1
173,4,2
9,3,0
32,3,1
73,3,1
121,3,0
135,3,0
175,3,1
201,3,0
226,3,1
16,2,0
26,2,1
58,2,1
71,2,1
80,2,0
127,2,1
138,2,0
167,2,0
169,2,1
207,2,2
208,2,1
218,2,1
8,1,0
34,1,0
39,1,1
82,1,0
94,1,0
113,1,1
116,1,1
142,1,1
160,1,0
172,1,0
197,1,1
215,1,0
217,1,0
245,1,1
